python
sql
numpy
pandas
matplotlib
scikit-learn
tensorflow
pytorch
machine learning
deep learning
artificial intelligence
computer vision
natural language processing
nlp
yolo
opencv
git
github
streamlit
fastapi
flask
docker
kubernetes
aws
azure
gcp
langchain
crewai
rag
vector database
chromadb
pinecone
faiss
ollama
llama
transformers
huggingface
linux
